token	goto456_general	hit	baidu	scu	source_count	scope_v1_included	category	note
""""	0	1	0	0	1	0	reference	自动生成；SCOPE v1 保留/纳入需方法审查
#	0	1	0	0	1	0	reference	自动生成；SCOPE v1 保留/纳入需方法审查
$	1	0	0	0	1	0	reference	自动生成；SCOPE v1 保留/纳入需方法审查
&	0	1	0	0	1	0	reference	自动生成；SCOPE v1 保留/纳入需方法审查
'	0	1	0	0	1	0	reference	自动生成；SCOPE v1 保留/纳入需方法审查
(	0	1	0	0	1	0	reference	自动生成；SCOPE v1 保留/纳入需方法审查
)	0	1	0	0	1	0	reference	自动生成；SCOPE v1 保留/纳入需方法审查
*	0	1	0	0	1	0	reference	自动生成；SCOPE v1 保留/纳入需方法审查
+	0	1	0	0	1	0	reference	自动生成；SCOPE v1 保留/纳入需方法审查
,	0	1	0	0	1	0	reference	自动生成；SCOPE v1 保留/纳入需方法审查
-	0	1	0	0	1	0	reference	自动生成；SCOPE v1 保留/纳入需方法审查
--	0	1	1	0	2	0	reference	自动生成；SCOPE v1 保留/纳入需方法审查
.	0	1	0	0	1	0	reference	自动生成；SCOPE v1 保留/纳入需方法审查
...	0	1	0	0	1	0	reference	自动生成；SCOPE v1 保留/纳入需方法审查
......	0	1	0	0	1	0	reference	自动生成；SCOPE v1 保留/纳入需方法审查
...................	0	1	0	0	1	0	reference	自动生成；SCOPE v1 保留/纳入需方法审查
./	0	1	0	0	1	0	reference	自动生成；SCOPE v1 保留/纳入需方法审查
.一	0	1	0	0	1	0	reference	自动生成；SCOPE v1 保留/纳入需方法审查
.数	0	1	0	0	1	0	reference	自动生成；SCOPE v1 保留/纳入需方法审查
.日	0	1	0	0	1	0	reference	自动生成；SCOPE v1 保留/纳入需方法审查
/	0	1	0	0	1	0	reference	自动生成；SCOPE v1 保留/纳入需方法审查
//	0	1	0	0	1	0	reference	自动生成；SCOPE v1 保留/纳入需方法审查
0	1	0	0	0	1	0	reference	自动生成；SCOPE v1 保留/纳入需方法审查
1	1	0	0	0	1	0	reference	自动生成；SCOPE v1 保留/纳入需方法审查
2	1	0	0	0	1	0	reference	自动生成；SCOPE v1 保留/纳入需方法审查
3	1	0	0	0	1	0	reference	自动生成；SCOPE v1 保留/纳入需方法审查
4	1	0	0	0	1	0	reference	自动生成；SCOPE v1 保留/纳入需方法审查
5	1	0	0	0	1	0	reference	自动生成；SCOPE v1 保留/纳入需方法审查
6	1	0	0	0	1	0	reference	自动生成；SCOPE v1 保留/纳入需方法审查
7	1	0	0	0	1	0	reference	自动生成；SCOPE v1 保留/纳入需方法审查
8	1	0	0	0	1	0	reference	自动生成；SCOPE v1 保留/纳入需方法审查
9	1	0	0	0	1	0	reference	自动生成；SCOPE v1 保留/纳入需方法审查
:	0	1	0	0	1	0	reference	自动生成；SCOPE v1 保留/纳入需方法审查
://	0	1	0	0	1	0	reference	自动生成；SCOPE v1 保留/纳入需方法审查
::	0	1	0	0	1	0	reference	自动生成；SCOPE v1 保留/纳入需方法审查
;	0	1	0	0	1	0	reference	自动生成；SCOPE v1 保留/纳入需方法审查
<	0	1	0	0	1	0	reference	自动生成；SCOPE v1 保留/纳入需方法审查
=	0	1	0	0	1	0	reference	自动生成；SCOPE v1 保留/纳入需方法审查
>	0	1	0	0	1	0	reference	自动生成；SCOPE v1 保留/纳入需方法审查
?	1	1	1	0	3	0	reference	自动生成；SCOPE v1 保留/纳入需方法审查
@	0	1	0	0	1	0	reference	自动生成；SCOPE v1 保留/纳入需方法审查
Lex	0	1	0	0	1	0	reference	自动生成；SCOPE v1 保留/纳入需方法审查
ZT	0	0	1	0	1	0	reference	自动生成；SCOPE v1 保留/纳入需方法审查
ZZ	0	0	1	0	1	0	reference	自动生成；SCOPE v1 保留/纳入需方法审查
[	0	1	0	0	1	0	reference	自动生成；SCOPE v1 保留/纳入需方法审查
]	0	1	0	0	1	0	reference	自动生成；SCOPE v1 保留/纳入需方法审查
_	1	0	0	0	1	0	reference	自动生成；SCOPE v1 保留/纳入需方法审查
a's	0	0	1	0	1	0	reference	自动生成；SCOPE v1 保留/纳入需方法审查
able	0	0	1	0	1	0	reference	自动生成；SCOPE v1 保留/纳入需方法审查
about	0	0	1	0	1	0	reference	自动生成；SCOPE v1 保留/纳入需方法审查
above	0	0	1	0	1	0	reference	自动生成；SCOPE v1 保留/纳入需方法审查
according	0	0	1	0	1	0	reference	自动生成；SCOPE v1 保留/纳入需方法审查
accordingly	0	0	1	0	1	0	reference	自动生成；SCOPE v1 保留/纳入需方法审查
across	0	0	1	0	1	0	reference	自动生成；SCOPE v1 保留/纳入需方法审查
actually	0	0	1	0	1	0	reference	自动生成；SCOPE v1 保留/纳入需方法审查
after	0	0	1	0	1	0	reference	自动生成；SCOPE v1 保留/纳入需方法审查
afterwards	0	0	1	0	1	0	reference	自动生成；SCOPE v1 保留/纳入需方法审查
again	0	0	1	0	1	0	reference	自动生成；SCOPE v1 保留/纳入需方法审查
against	0	0	1	0	1	0	reference	自动生成；SCOPE v1 保留/纳入需方法审查
ain't	0	0	1	0	1	0	reference	自动生成；SCOPE v1 保留/纳入需方法审查
all	0	0	1	0	1	0	reference	自动生成；SCOPE v1 保留/纳入需方法审查
allow	0	0	1	0	1	0	reference	自动生成；SCOPE v1 保留/纳入需方法审查
allows	0	0	1	0	1	0	reference	自动生成；SCOPE v1 保留/纳入需方法审查
almost	0	0	1	0	1	0	reference	自动生成；SCOPE v1 保留/纳入需方法审查
alone	0	0	1	0	1	0	reference	自动生成；SCOPE v1 保留/纳入需方法审查
along	0	0	1	0	1	0	reference	自动生成；SCOPE v1 保留/纳入需方法审查
already	0	0	1	0	1	0	reference	自动生成；SCOPE v1 保留/纳入需方法审查
also	0	0	1	0	1	0	reference	自动生成；SCOPE v1 保留/纳入需方法审查
although	0	0	1	0	1	0	reference	自动生成；SCOPE v1 保留/纳入需方法审查
always	0	0	1	0	1	0	reference	自动生成；SCOPE v1 保留/纳入需方法审查
am	0	0	1	0	1	0	reference	自动生成；SCOPE v1 保留/纳入需方法审查
among	0	0	1	0	1	0	reference	自动生成；SCOPE v1 保留/纳入需方法审查
amongst	0	0	1	0	1	0	reference	自动生成；SCOPE v1 保留/纳入需方法审查
an	0	0	1	0	1	0	reference	自动生成；SCOPE v1 保留/纳入需方法审查
and	0	0	1	0	1	0	reference	自动生成；SCOPE v1 保留/纳入需方法审查
another	0	0	1	0	1	0	reference	自动生成；SCOPE v1 保留/纳入需方法审查
any	0	0	1	0	1	0	reference	自动生成；SCOPE v1 保留/纳入需方法审查
anybody	0	0	1	0	1	0	reference	自动生成；SCOPE v1 保留/纳入需方法审查
anyhow	0	0	1	0	1	0	reference	自动生成；SCOPE v1 保留/纳入需方法审查
anyone	0	0	1	0	1	0	reference	自动生成；SCOPE v1 保留/纳入需方法审查
anything	0	0	1	0	1	0	reference	自动生成；SCOPE v1 保留/纳入需方法审查
anyway	0	0	1	0	1	0	reference	自动生成；SCOPE v1 保留/纳入需方法审查
anyways	0	0	1	0	1	0	reference	自动生成；SCOPE v1 保留/纳入需方法审查
anywhere	0	0	1	0	1	0	reference	自动生成；SCOPE v1 保留/纳入需方法审查
apart	0	0	1	0	1	0	reference	自动生成；SCOPE v1 保留/纳入需方法审查
appear	0	0	1	0	1	0	reference	自动生成；SCOPE v1 保留/纳入需方法审查
appreciate	0	0	1	0	1	0	reference	自动生成；SCOPE v1 保留/纳入需方法审查
appropriate	0	0	1	0	1	0	reference	自动生成；SCOPE v1 保留/纳入需方法审查
are	0	0	1	0	1	0	reference	自动生成；SCOPE v1 保留/纳入需方法审查
aren't	0	0	1	0	1	0	reference	自动生成；SCOPE v1 保留/纳入需方法审查
around	0	0	1	0	1	0	reference	自动生成；SCOPE v1 保留/纳入需方法审查
as	0	0	1	0	1	0	reference	自动生成；SCOPE v1 保留/纳入需方法审查
aside	0	0	1	0	1	0	reference	自动生成；SCOPE v1 保留/纳入需方法审查
ask	0	0	1	0	1	0	reference	自动生成；SCOPE v1 保留/纳入需方法审查
